%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=208486, 2016/06/18 20:18:6.86)
1 15  9.297131899145455500e-01 0 0 1.637374e+00 -3.033852e+00 -3.830721e+00 -7.051254e-01 -1.717451e+00 3.401327e+00 4.714065e+00 4.359807e-01 -3.360589e+00 1.152939e+00 1.568287e+00 3.246865e+00 -7.345476e-01 -1.242919e+00 1.094769e+00 8.566762e-01 -1.430475e+00 5.988748e-01 -1.211121e+00 -4.120357e-01 7.719000e-02 -6.410796e-01 1.104260e+00 -1.214293e-01 -6.698544e-01 2.317947e+00 -3.277252e+00 -2.695017e+00 -3.348611e+00 -2.528601e+00 -6.555500e-01 1.887527e+00 
2 29  8.561881934520048100e-01 0 0 1.523767e+00 -2.974210e+00 -3.853043e+00 -5.241676e-01 -1.772451e+00 3.360619e+00 4.243692e+00 2.620380e-01 -3.504371e+00 1.163393e+00 1.764119e+00 3.440689e+00 -6.165787e-01 -1.027901e+00 1.087033e+00 9.768217e-01 -1.441724e+00 6.732034e-01 -1.277185e+00 -3.234211e-01 -6.529560e-02 -9.473071e-01 1.232748e+00 2.813286e-02 -9.163728e-01 2.556585e+00 -3.486564e+00 -2.766442e+00 -3.063786e+00 -2.365107e+00 -3.015590e-01 2.029311e+00 
3 43  6.241287415314243900e-01 0 0 2.032542e+00 -3.149596e+00 -3.815470e+00 -2.733737e-01 -1.895900e+00 3.458838e+00 4.544564e+00 4.658193e-01 -3.499082e+00 1.299005e+00 1.866279e+00 3.074887e+00 -6.174817e-01 -1.117268e+00 1.072485e+00 1.350262e+00 -1.076234e+00 5.193179e-01 -1.192896e+00 -4.394412e-01 -3.665570e-01 -9.009082e-01 1.125067e+00 1.067609e-01 -9.020940e-01 2.601094e+00 -3.464197e+00 -2.681862e+00 -3.182296e+00 -2.328274e+00 -2.542573e-01 2.126325e+00 
4 57  3.919065680104455400e-01 0 0 1.840114e+00 -3.524094e+00 -3.716103e+00 -2.867090e-01 -2.434790e+00 3.475778e+00 4.622007e+00 4.611255e-01 -3.624448e+00 1.381909e+00 1.985938e+00 3.134278e+00 -4.589782e-01 -1.381047e+00 1.148969e+00 1.356786e+00 -1.257045e+00 4.374689e-01 -1.443443e+00 -5.296433e-01 -2.689478e-01 -1.113089e+00 1.359991e+00 -1.456613e-01 -8.812446e-01 2.393171e+00 -3.252875e+00 -2.685408e+00 -2.983036e+00 -2.096266e+00 -1.613388e-01 2.381790e+00 
5 71  3.558595304132113900e-01 0 0 1.482232e+00 -3.375001e+00 -3.669744e+00 -4.032613e-01 -2.285562e+00 3.110743e+00 4.680709e+00 6.562973e-01 -3.734671e+00 1.557847e+00 1.792018e+00 3.252012e+00 -2.793347e-01 -1.300174e+00 1.057709e+00 1.552024e+00 -1.378985e+00 4.315050e-01 -1.179204e+00 -2.440522e-01 -1.391427e-02 -1.161505e+00 1.307888e+00 -4.735272e-02 -1.180126e+00 2.853517e+00 -3.624992e+00 -2.579815e+00 -3.012686e+00 -2.187987e+00 -1.610006e-01 2.484120e+00 
6 85  3.464017215794169500e-01 0 0 1.469299e+00 -3.756491e+00 -3.490215e+00 -3.571974e-01 -1.844811e+00 3.188705e+00 4.491669e+00 3.484144e-01 -3.747779e+00 1.385025e+00 1.824530e+00 3.267829e+00 -5.307436e-01 -1.412846e+00 8.797643e-01 1.151448e+00 -1.150275e+00 5.843613e-01 -1.059308e+00 -3.570609e-01 7.953527e-02 -7.967515e-01 9.122148e-01 1.477572e-01 -8.492170e-01 2.967444e+00 -3.615524e+00 -2.383037e+00 -3.205031e+00 -2.294308e+00 -2.466392e-01 2.660179e+00 
7 99  3.482710077664204500e-01 0 0 1.674257e+00 -3.779119e+00 -3.736107e+00 -4.445292e-01 -2.317175e+00 3.338106e+00 4.425858e+00 5.491252e-01 -3.701799e+00 1.376772e+00 1.537817e+00 3.545725e+00 -6.894082e-02 -1.685312e+00 7.621264e-01 1.301658e+00 -1.219300e+00 4.407273e-01 -1.380940e+00 -2.209756e-01 -8.527051e-02 -9.396834e-01 9.116840e-01 6.245058e-02 -8.499866e-01 2.577469e+00 -3.343634e+00 -2.477081e+00 -3.358896e+00 -1.865878e+00 -4.630490e-01 2.521418e+00 
8 113  3.315163976366868300e-01 0 0 1.412818e+00 -3.520261e+00 -3.486927e+00 2.258065e-01 -2.421903e+00 3.528266e+00 4.282744e+00 5.444256e-01 -4.136621e+00 1.359048e+00 1.800347e+00 3.393279e+00 -5.681764e-01 -1.521447e+00 8.098429e-01 1.418144e+00 -9.916567e-01 4.321193e-01 -1.698467e+00 -1.627879e-01 -1.561468e-01 -9.112100e-01 8.247163e-01 2.943272e-01 -1.082446e+00 2.478473e+00 -3.321038e+00 -2.992104e+00 -3.331510e+00 -2.203494e+00 1.008189e-01 2.744506e+00 
9 127  3.363103288425361400e-01 0 0 1.149899e+00 -3.314532e+00 -3.239830e+00 -4.121379e-02 -2.362223e+00 3.702508e+00 4.133007e+00 8.144326e-01 -3.937303e+00 1.411676e+00 1.956013e+00 3.252563e+00 -4.574285e-01 -1.160936e+00 1.073809e+00 1.164651e+00 -8.944826e-01 -8.142309e-03 -1.685090e+00 -1.115412e-01 -3.199769e-01 -9.366982e-01 1.162692e+00 4.893666e-01 -1.095229e+00 2.390479e+00 -3.378155e+00 -2.437362e+00 -3.271317e+00 -2.208193e+00 -9.467134e-02 2.546126e+00 
10 141  3.220317709020919000e-01 0 0 1.510368e+00 -3.254201e+00 -3.213561e+00 -3.824064e-01 -2.400315e+00 3.226357e+00 4.289465e+00 6.801735e-01 -3.713459e+00 1.557761e+00 1.983211e+00 3.244792e+00 -7.716972e-01 -1.296256e+00 1.174132e+00 1.432339e+00 -7.739712e-01 3.215261e-01 -1.475507e+00 -2.378879e-01 -3.808336e-01 -9.434960e-01 8.639995e-01 4.102713e-01 -1.127435e+00 2.466809e+00 -2.954465e+00 -2.305792e+00 -3.126423e+00 -1.946180e+00 1.985334e-01 2.613895e+00 
