%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=210803, 2016/06/19 16:44:7.04)
1 14  1.971590128225844700e+22 0 0 5.267148e+00 6.120986e-01 -1.813002e+00 1.123396e+00 -2.933779e+00 2.810639e-01 2.648169e+00 -1.715353e+00 -2.954847e+00 6.244024e-01 -1.770129e+00 -2.034047e+00 3.022116e+00 -9.147329e-01 2.850957e+00 -1.126990e+00 -3.225235e+00 -2.883268e+00 2.713233e+00 2.970310e+00 3.331998e+00 -1.095268e+00 2.785672e-01 -2.905486e-01 3.350888e-01 -1.688610e+00 -2.327784e+00 2.993478e+00 
2 27  1.971590102762295100e+22 0 0 5.373169e+00 8.590532e-01 -1.530142e+00 1.007058e+00 -3.143932e+00 -2.075651e-01 2.885974e+00 -1.563438e+00 -3.056467e+00 7.587499e-01 -1.768893e+00 -1.859473e+00 2.968788e+00 -7.546998e-01 2.876084e+00 -1.270572e+00 -3.145835e+00 -3.076447e+00 2.861990e+00 2.813951e+00 3.394116e+00 -9.564525e-01 -3.109559e-02 -6.501612e-02 6.026491e-01 -1.848065e+00 -2.554454e+00 3.104706e+00 
3 40  1.971590084158625400e+22 0 0 5.410418e+00 1.037888e+00 -2.013064e+00 8.187184e-01 -3.186214e+00 -2.061084e-01 2.809758e+00 -1.296226e+00 -3.060509e+00 7.887518e-01 -1.831374e+00 -2.128272e+00 2.991734e+00 -8.254963e-01 2.888349e+00 -1.552315e+00 -3.187706e+00 -2.900157e+00 2.813315e+00 2.463097e+00 3.614983e+00 -9.401694e-01 4.205069e-01 -1.925851e-01 4.079482e-01 -1.720567e+00 -2.706270e+00 3.024435e+00 
4 53  1.971590078708855100e+22 0 0 5.189791e+00 1.160362e+00 -1.543420e+00 4.275017e-01 -3.250140e+00 -3.832665e-01 2.584480e+00 -1.316709e+00 -2.967951e+00 6.948046e-01 -1.811070e+00 -2.148103e+00 2.956243e+00 -1.080834e+00 3.102779e+00 -1.684109e+00 -3.042244e+00 -3.061233e+00 2.731520e+00 2.515890e+00 3.857640e+00 -9.919873e-01 1.354175e-01 -1.794718e-01 5.781803e-01 -1.648440e+00 -2.885328e+00 2.847301e+00 
5 66  1.971590078024645000e+22 0 0 5.439344e+00 1.115712e+00 -1.495274e+00 6.335102e-01 -3.467484e+00 -4.343484e-01 2.697051e+00 -1.528822e+00 -3.313170e+00 5.472346e-01 -2.223514e+00 -2.260779e+00 3.055201e+00 -1.090217e+00 2.929565e+00 -1.783353e+00 -2.779150e+00 -3.100321e+00 2.954345e+00 2.035595e+00 3.861756e+00 -1.034806e+00 1.349319e-01 1.459575e-01 7.395872e-01 -1.670824e+00 -3.351042e+00 3.170508e+00 
6 79  1.971590076968654300e+22 0 0 4.865815e+00 1.432798e+00 -2.028738e+00 4.039962e-01 -3.411187e+00 -6.130256e-01 2.617453e+00 -1.564835e+00 -3.070090e+00 1.041792e+00 -2.067203e+00 -2.352187e+00 3.346534e+00 -9.195389e-01 3.205902e+00 -1.706922e+00 -3.040773e+00 -3.034236e+00 2.960329e+00 2.896625e+00 3.432942e+00 -8.843439e-01 4.271983e-01 -6.162714e-03 2.716260e-01 -1.991394e+00 -3.622120e+00 3.434817e+00 
7 92  1.971590076311852300e+22 0 0 4.743691e+00 1.575532e+00 -1.453698e+00 2.637991e-01 -3.369917e+00 -3.100552e-01 2.325467e+00 -1.646581e+00 -3.090272e+00 6.105107e-01 -1.871444e+00 -2.102909e+00 3.296319e+00 -7.689853e-01 3.354039e+00 -1.728600e+00 -2.841197e+00 -2.586328e+00 2.938293e+00 2.496853e+00 3.372571e+00 -8.304780e-01 4.382933e-01 -5.787973e-02 4.788042e-01 -2.169331e+00 -3.076517e+00 3.455004e+00 
8 105  1.971590076271417500e+22 0 0 4.895343e+00 1.793151e+00 -1.431099e+00 -4.164268e-02 -3.497487e+00 -2.566684e-01 2.312013e+00 -1.602334e+00 -3.428553e+00 3.480112e-01 -2.272833e+00 -1.861614e+00 3.189437e+00 -8.390231e-01 3.270680e+00 -1.794175e+00 -2.712545e+00 -2.495130e+00 2.592433e+00 2.720736e+00 3.484770e+00 -4.827223e-01 2.001367e-01 -5.902695e-02 1.298292e-01 -2.080758e+00 -3.194518e+00 3.429934e+00 
9 118  1.971590076073984900e+22 0 0 4.703027e+00 1.563561e+00 -1.618534e+00 3.494827e-01 -3.854461e+00 -1.706654e-01 2.584089e+00 -1.179234e+00 -3.522266e+00 1.552509e-01 -2.401665e+00 -1.958948e+00 3.060065e+00 -1.193906e+00 3.401496e+00 -1.307356e+00 -3.345221e+00 -2.923482e+00 2.899771e+00 2.677175e+00 3.399779e+00 -5.727802e-01 8.553772e-01 4.108156e-01 7.146548e-01 -1.835178e+00 -3.399147e+00 3.607562e+00 
10 131  1.971590075626711000e+22 0 0 4.275488e+00 1.758402e+00 -1.816711e+00 2.335857e-01 -3.705667e+00 -3.345825e-01 2.545804e+00 -1.459247e+00 -3.032399e+00 4.798983e-01 -2.553019e+00 -1.814235e+00 3.132761e+00 -1.000424e+00 3.226521e+00 -1.188081e+00 -2.757296e+00 -2.868257e+00 2.898335e+00 2.963959e+00 3.117578e+00 -4.268105e-01 8.184605e-01 4.187487e-01 1.305017e-01 -2.085231e+00 -3.126744e+00 3.393202e+00 
11 144  1.971590074844233000e+22 0 0 4.610655e+00 1.302486e+00 -2.075149e+00 -2.026080e-01 -3.430802e+00 -4.622332e-02 2.421998e+00 -1.234007e+00 -3.286076e+00 9.243712e-01 -2.514556e+00 -2.147230e+00 3.356310e+00 -5.995993e-01 3.265414e+00 -1.007981e+00 -2.554988e+00 -3.090637e+00 2.481499e+00 3.098259e+00 3.036022e+00 -5.787463e-01 1.330649e+00 2.764437e-01 7.124685e-01 -2.385578e+00 -2.772029e+00 2.897309e+00 
