%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=210803, 2016/06/19 16:44:7.04)
1 14 1.885144e-01 1.040185e+00  1.971590128225844700e+22  1.971590128225844700e+22  1.971590351168583400e+22  1.971590894812251600e+22
2 27 1.820385e-01 1.055395e+00  1.971590102762295100e+22  1.971590102762295100e+22  1.971590186434222800e+22  1.971590569629120400e+22
3 40 1.814416e-01 1.081980e+00  1.971590084158625400e+22  1.971590084158625400e+22  1.971590119650765000e+22  1.971590415948516500e+22
4 53 1.879106e-01 1.120973e+00  1.971590078708855100e+22  1.971590078708855100e+22  1.971590088709263600e+22  1.971590153628341900e+22
5 66 1.989472e-01 1.163068e+00  1.971590078024645000e+22  1.971590078024645000e+22  1.971590079109611200e+22  1.971590094094693800e+22
6 79 2.141049e-01 1.186619e+00  1.971590076968654300e+22  1.971590076968654300e+22  1.971590079114928300e+22  1.971590143164813000e+22
7 92 2.277236e-01 1.205146e+00  1.971590076311852300e+22  1.971590076311852300e+22  1.971590077020285300e+22  1.971590079386491400e+22
8 105 2.435393e-01 1.217040e+00  1.971590076271417500e+22  1.971590076271417500e+22  1.971590076445878300e+22  1.971590167084252200e+22
9 118 2.546614e-01 1.224199e+00  1.971590076073984900e+22  1.971590076073984900e+22  1.971590076331415800e+22  1.971590077204214800e+22
10 131 2.642516e-01 1.228471e+00  1.971590075626711000e+22  1.971590075626711000e+22  1.971590076272914000e+22  1.971590337995609600e+22
11 144 2.782986e-01 1.240079e+00  1.971590074844233000e+22  1.971590074844233000e+22  1.971590076197579700e+22  1.971590297218324400e+22
12 157 2.868304e-01 1.245622e+00  1.971590071514567600e+22  1.971590071514567600e+22  1.971590076027590500e+22  1.971590131440971600e+22
13 170 2.995080e-01 1.250936e+00  1.971590071514567600e+22  1.971590073489823100e+22  1.971590075616354500e+22  1.971590835176302700e+22
14 183 3.092685e-01 1.254985e+00  1.971590069368190400e+22  1.971590069368190400e+22  1.971590075406919900e+22  1.971590198865718300e+22
15 196 3.230707e-01 1.257133e+00  1.971590064699624300e+22  1.971590064699624300e+22  1.971590074759917900e+22  1.971590171322924300e+22
16 209 3.391208e-01 1.262543e+00  1.971590064699624300e+22  1.971590066181391800e+22  1.971590073419767300e+22  1.971590236241113400e+22
17 222 3.442071e-01 1.271672e+00  1.971590064699624300e+22  1.971590067618019800e+22  1.971590073627928900e+22  1.971590451366954700e+22
18 235 3.513763e-01 1.287655e+00  1.971590063376070100e+22  1.971590063376070100e+22  1.971590074558362700e+22  1.971590293899502100e+22
19 248 3.562745e-01 1.309956e+00  1.971590062873256600e+22  1.971590062873256600e+22  1.971590071833272600e+22  1.971590188834510500e+22
20 261 3.612597e-01 1.333207e+00  1.971590058046064000e+22  1.971590058046064000e+22  1.971590086763713100e+22  1.971590792777362000e+22
21 274 3.725378e-01 1.361362e+00  1.971590058046064000e+22  1.971590058964293600e+22  1.971590071983677800e+22  1.971590411861638300e+22
22 287 3.714407e-01 1.379437e+00  1.971590058046064000e+22  1.971590063122947200e+22  1.971590073637639100e+22  1.971590312267095800e+22
23 300 3.678547e-01 1.392086e+00  1.971590051140104300e+22  1.971590051140104300e+22  1.971590072508392800e+22  1.971590325809012400e+22
24 313 3.614591e-01 1.404184e+00  1.971590051140104300e+22  1.971590062684778400e+22  1.971590072846870600e+22  1.971590291478640900e+22
25 326 3.572140e-01 1.414597e+00  1.971590023759865200e+22  1.971590023759865200e+22  1.971590064116642000e+22  1.971590202732659800e+22
26 339 3.576365e-01 1.427388e+00  1.971590023759865200e+22  1.971590054665957800e+22  1.971590085397286900e+22  1.971590965999567100e+22
27 352 3.667075e-01 1.441383e+00  1.971590009414636200e+22  1.971590009414636200e+22  1.971590067469395000e+22  1.971590603159230400e+22
28 365 3.831303e-01 1.491325e+00  1.971590009414636200e+22  1.971590010463932000e+22  1.971590039812377100e+22  1.971590112169627400e+22
29 378 4.030506e-01 1.526175e+00  1.971590002476569500e+22  1.971590002476569500e+22  1.971590025398639700e+22  1.971590950584647600e+22
30 391 4.198389e-01 1.564202e+00  1.971590000521315500e+22  1.971590000521315500e+22  1.971590041253079500e+22  1.971590164827792100e+22
