%  columns="iteration, evaluation, void, void, void, xmean" (startseed=210803, 2016/06/19 16:44:7.04)
0 1 0 0 0 5.259457e+00 9.708546e-01 -2.079582e+00 1.142115e+00 -3.132663e+00 -8.706299e-02 2.678020e+00 -1.173581e+00 -3.195146e+00 8.008720e-01 -1.836056e+00 -2.099220e+00 2.987890e+00 -3.831868e-01 2.722715e+00 -1.100351e+00 -3.252769e+00 -2.795487e+00 2.692511e+00 2.722088e+00 3.518952e+00 -1.076187e+00 3.271561e-01 3.099687e-02 4.491842e-01 -1.831792e+00 -2.222327e+00 2.909992e+00 
1 14 0 0 0 5.242936e+00 9.450299e-01 -1.906729e+00 1.067678e+00 -3.087587e+00 1.257031e-01 2.687303e+00 -1.374977e+00 -3.133768e+00 7.195013e-01 -1.725664e+00 -2.099315e+00 2.992504e+00 -6.751033e-01 2.848844e+00 -1.158495e+00 -3.209216e+00 -2.866100e+00 2.769604e+00 2.806826e+00 3.471936e+00 -1.135170e+00 2.411788e-01 -1.268833e-01 4.786039e-01 -1.854353e+00 -2.267108e+00 2.914470e+00 
2 27 0 0 0 5.321453e+00 1.063043e+00 -1.747371e+00 1.090064e+00 -3.095874e+00 -1.144388e-02 2.803037e+00 -1.428398e+00 -3.064275e+00 7.800418e-01 -1.830345e+00 -1.849666e+00 2.974967e+00 -6.900348e-01 2.842902e+00 -1.288895e+00 -3.281428e+00 -2.845927e+00 2.760413e+00 2.781585e+00 3.473546e+00 -1.158962e+00 1.053134e-01 -9.026390e-02 5.792359e-01 -1.788344e+00 -2.415008e+00 2.973991e+00 
3 40 0 0 0 5.341119e+00 1.041693e+00 -1.760727e+00 8.885416e-01 -3.180777e+00 -1.742896e-01 2.795018e+00 -1.488250e+00 -3.164356e+00 7.071224e-01 -1.825882e+00 -1.892685e+00 3.018927e+00 -9.178590e-01 2.859771e+00 -1.394259e+00 -3.185648e+00 -2.887931e+00 2.804160e+00 2.592505e+00 3.619675e+00 -9.835123e-01 2.335108e-01 -7.737935e-02 5.936905e-01 -1.806817e+00 -2.631626e+00 3.029209e+00 
4 53 0 0 0 5.273310e+00 1.147581e+00 -1.649426e+00 6.561179e-01 -3.156056e+00 -2.800968e-01 2.704581e+00 -1.419068e+00 -3.083240e+00 7.774533e-01 -1.882087e+00 -1.970309e+00 2.977657e+00 -8.936575e-01 3.027291e+00 -1.568785e+00 -3.141385e+00 -2.864043e+00 2.785164e+00 2.480566e+00 3.871142e+00 -9.075180e-01 1.839357e-01 -3.986110e-02 5.832251e-01 -1.821903e+00 -2.794756e+00 3.061644e+00 
5 66 0 0 0 5.220925e+00 1.136456e+00 -1.650421e+00 6.119119e-01 -3.249995e+00 -3.493278e-01 2.686949e+00 -1.520429e+00 -3.164536e+00 7.176725e-01 -2.008490e+00 -2.036575e+00 2.963698e+00 -9.173791e-01 3.034878e+00 -1.643060e+00 -2.958642e+00 -2.930753e+00 2.836769e+00 2.300216e+00 3.807312e+00 -9.419732e-01 1.894934e-01 8.820576e-02 6.676304e-01 -1.722979e+00 -3.098977e+00 3.115493e+00 
6 79 0 0 0 4.943972e+00 1.411120e+00 -1.778763e+00 4.484850e-01 -3.234155e+00 -4.714561e-01 2.609491e+00 -1.542558e+00 -3.165911e+00 7.050806e-01 -2.041018e+00 -2.168814e+00 3.118942e+00 -9.204120e-01 3.115700e+00 -1.745183e+00 -3.052299e+00 -2.959038e+00 2.852161e+00 2.496318e+00 3.555370e+00 -9.388666e-01 3.210896e-01 5.569709e-02 4.188972e-01 -1.901816e+00 -3.315459e+00 3.296292e+00 
7 92 0 0 0 5.001154e+00 1.373645e+00 -1.650532e+00 2.844310e-01 -3.213186e+00 -4.184216e-01 2.615134e+00 -1.576669e+00 -3.190073e+00 6.640536e-01 -2.066032e+00 -2.127855e+00 3.152124e+00 -8.689927e-01 3.261390e+00 -1.749015e+00 -2.949639e+00 -2.838627e+00 2.777587e+00 2.475292e+00 3.552311e+00 -8.546092e-01 3.443115e-01 -4.348251e-02 5.207034e-01 -2.063799e+00 -3.414132e+00 3.387492e+00 
8 105 0 0 0 4.875760e+00 1.558290e+00 -1.568009e+00 1.342266e-01 -3.480553e+00 -3.153070e-01 2.547386e+00 -1.633641e+00 -3.278669e+00 5.410321e-01 -2.175848e+00 -1.940806e+00 3.164553e+00 -8.706203e-01 3.306494e+00 -1.708552e+00 -2.919574e+00 -2.654804e+00 2.775599e+00 2.564015e+00 3.545362e+00 -7.099978e-01 4.142798e-01 -1.044030e-01 3.728544e-01 -2.193729e+00 -3.396261e+00 3.459420e+00 
9 118 0 0 0 4.771278e+00 1.560247e+00 -1.615181e+00 2.660543e-01 -3.485159e+00 -3.354671e-01 2.606416e+00 -1.500390e+00 -3.411688e+00 3.122118e-01 -2.322763e+00 -1.959192e+00 3.204817e+00 -9.380030e-01 3.313687e+00 -1.461654e+00 -3.077771e+00 -2.825797e+00 2.802616e+00 2.531811e+00 3.471899e+00 -5.020060e-01 5.846851e-01 1.387076e-01 3.936568e-01 -2.046605e+00 -3.453565e+00 3.399617e+00 
