%  columns="iteration, evaluation, void, void, void, xmean" (startseed=208486, 2016/06/18 20:18:6.86)
0 1 0 0 0 1.618917e+00 -3.088282e+00 -3.603512e+00 -8.149616e-01 -1.903244e+00 3.301877e+00 4.624541e+00 1.279404e-01 -3.638540e+00 1.064908e+00 1.779889e+00 3.303372e+00 -5.192440e-01 -1.116293e+00 1.137375e+00 1.149256e+00 -1.104296e+00 7.956679e-01 -1.258194e+00 -6.375066e-01 -4.766923e-03 -5.761876e-01 1.248511e+00 3.366935e-01 -8.251260e-01 2.435192e+00 -3.510567e+00 -2.618788e+00 -3.264048e+00 -2.511003e+00 -6.469216e-01 1.815928e+00 
1 15 0 0 0 1.654687e+00 -3.047842e+00 -3.740642e+00 -6.803621e-01 -1.866202e+00 3.352186e+00 4.580415e+00 2.892274e-01 -3.469702e+00 1.093899e+00 1.656928e+00 3.268690e+00 -5.893794e-01 -1.192697e+00 1.023562e+00 9.766213e-01 -1.184220e+00 6.645385e-01 -1.136651e+00 -6.292426e-01 5.620621e-02 -6.676211e-01 1.229637e+00 1.146266e-01 -8.165770e-01 2.367182e+00 -3.429560e+00 -2.609260e+00 -3.295135e+00 -2.480329e+00 -6.663290e-01 1.924838e+00 
2 29 0 0 0 1.619649e+00 -3.094770e+00 -3.725310e+00 -5.881851e-01 -1.884626e+00 3.402309e+00 4.510606e+00 2.838450e-01 -3.508541e+00 1.208441e+00 1.630743e+00 3.297858e+00 -5.154856e-01 -1.027200e+00 1.074435e+00 8.993666e-01 -1.260302e+00 6.245038e-01 -1.212098e+00 -4.899461e-01 6.298869e-02 -8.455076e-01 1.171066e+00 5.516668e-02 -7.962046e-01 2.356130e+00 -3.378813e+00 -2.701108e+00 -3.347665e+00 -2.426640e+00 -5.423292e-01 2.046503e+00 
3 43 0 0 0 1.676280e+00 -3.149089e+00 -3.803528e+00 -5.032244e-01 -1.997074e+00 3.435863e+00 4.553492e+00 3.204605e-01 -3.447414e+00 1.285665e+00 1.696275e+00 3.266391e+00 -6.354702e-01 -1.203716e+00 1.059071e+00 1.020187e+00 -1.198058e+00 6.570986e-01 -1.213078e+00 -3.968851e-01 -3.593200e-02 -8.725900e-01 1.167270e+00 -1.503712e-03 -7.432143e-01 2.327074e+00 -3.358841e+00 -2.695133e+00 -3.324305e+00 -2.380780e+00 -4.573634e-01 2.160085e+00 
4 57 0 0 0 1.771309e+00 -3.299747e+00 -3.789457e+00 -4.086394e-01 -2.153119e+00 3.390627e+00 4.530064e+00 3.843085e-01 -3.524925e+00 1.385243e+00 1.841500e+00 3.254327e+00 -5.104573e-01 -1.341969e+00 9.894543e-01 1.142893e+00 -1.174100e+00 5.044176e-01 -1.361994e+00 -3.469754e-01 -1.161031e-01 -1.001840e+00 1.227112e+00 -9.199295e-02 -9.020682e-01 2.411600e+00 -3.319620e+00 -2.640860e+00 -3.172935e+00 -2.191970e+00 -3.705528e-01 2.350583e+00 
5 71 0 0 0 1.616685e+00 -3.276203e+00 -3.732779e+00 -3.081009e-01 -2.222129e+00 3.214748e+00 4.529373e+00 5.233090e-01 -3.609616e+00 1.453802e+00 1.762185e+00 3.294770e+00 -2.494532e-01 -1.394402e+00 1.037921e+00 1.223060e+00 -1.218754e+00 5.200412e-01 -1.275109e+00 -2.323647e-01 -8.613496e-02 -1.070810e+00 1.207245e+00 -5.495385e-02 -1.051074e+00 2.565444e+00 -3.475865e+00 -2.508766e+00 -3.138316e+00 -2.190690e+00 -3.782253e-01 2.459618e+00 
6 85 0 0 0 1.540751e+00 -3.394164e+00 -3.683711e+00 -2.501670e-01 -2.074640e+00 3.292379e+00 4.498339e+00 5.681380e-01 -3.696703e+00 1.425326e+00 1.835572e+00 3.407061e+00 -3.810319e-01 -1.334649e+00 9.892749e-01 1.224475e+00 -1.230607e+00 5.489997e-01 -1.362591e+00 -2.689994e-01 -4.684436e-02 -9.764814e-01 1.119466e+00 -4.362968e-02 -9.741248e-01 2.649459e+00 -3.553225e+00 -2.545914e+00 -3.219742e+00 -2.139179e+00 -3.617412e-01 2.503815e+00 
7 99 0 0 0 1.625216e+00 -3.497224e+00 -3.654893e+00 -2.394846e-01 -2.166390e+00 3.337000e+00 4.424527e+00 5.180558e-01 -3.622872e+00 1.421506e+00 1.633175e+00 3.422340e+00 -3.089606e-01 -1.398154e+00 1.033152e+00 1.253934e+00 -1.149240e+00 5.064984e-01 -1.302179e+00 -2.399599e-01 -3.085542e-02 -1.029331e+00 1.014704e+00 -1.294937e-02 -9.102007e-01 2.623965e+00 -3.515948e+00 -2.532840e+00 -3.273543e+00 -2.069776e+00 -3.135206e-01 2.567784e+00 
8 113 0 0 0 1.506184e+00 -3.508045e+00 -3.573972e+00 -5.701244e-02 -2.372143e+00 3.446538e+00 4.308414e+00 4.904382e-01 -3.773884e+00 1.348247e+00 1.714648e+00 3.423660e+00 -4.172918e-01 -1.415936e+00 1.021825e+00 1.331297e+00 -1.103649e+00 4.626785e-01 -1.481738e+00 -1.548830e-01 -2.415863e-01 -9.672203e-01 9.558923e-01 1.782253e-01 -1.049575e+00 2.562543e+00 -3.417531e+00 -2.651429e+00 -3.336593e+00 -2.028413e+00 -1.161801e-01 2.585474e+00 
9 127 0 0 0 1.269765e+00 -3.549333e+00 -3.430363e+00 -2.302210e-01 -2.303226e+00 3.489588e+00 4.265840e+00 5.591593e-01 -3.866492e+00 1.454904e+00 1.861028e+00 3.471556e+00 -4.125806e-01 -1.279713e+00 9.637906e-01 1.245546e+00 -1.013088e+00 3.655495e-01 -1.545980e+00 -2.059507e-01 -2.463899e-01 -1.027646e+00 1.142312e+00 1.869103e-01 -1.134421e+00 2.563311e+00 -3.276953e+00 -2.471678e+00 -3.287424e+00 -2.226265e+00 -1.279946e-01 2.506373e+00 
