%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=208486, 2016/06/18 20:18:6.86)
1 15 1.878329e-01 1.030893e+00  9.297131899145455500e-01  9.297131899145455500e-01  1.292517641965250200e+00  1.374114760440783500e+00
2 29 1.808131e-01 1.043687e+00  8.561881934520048100e-01  8.561881934520048100e-01  1.199020934272956100e+00  1.297662121522571700e+00
3 43 1.761421e-01 1.057611e+00  6.241287415314243900e-01  6.241287415314243900e-01  8.983765067795209700e-01  1.228951153298123400e+00
4 57 1.802276e-01 1.090069e+00  3.919065680104455400e-01  3.919065680104455400e-01  7.486670145737595000e-01  1.053557633432020700e+00
5 71 1.869363e-01 1.126016e+00  3.558595304132113900e-01  3.558595304132113900e-01  4.330504961207779500e-01  7.732076234298057600e-01
6 85 1.891640e-01 1.151330e+00  3.464017215794169500e-01  3.464017215794169500e-01  3.716094433255092700e-01  5.518001239419364500e-01
7 99 1.903520e-01 1.175061e+00  3.464017215794169500e-01  3.482710077664204500e-01  3.736334807809426600e-01  6.757819785354900500e-01
8 113 1.956877e-01 1.204997e+00  3.315163976366868300e-01  3.315163976366868300e-01  3.631873675342034400e-01  5.210402613973457200e-01
9 127 1.983706e-01 1.228887e+00  3.315163976366868300e-01  3.363103288425361400e-01  3.704377497137867300e-01  7.767348011099126600e-01
10 141 2.027367e-01 1.255062e+00  3.220317709020919000e-01  3.220317709020919000e-01  3.561344471507456600e-01  5.634276963089568400e-01
11 155 2.106968e-01 1.287895e+00  2.960083796047873200e-01  2.960083796047873200e-01  3.584749232540953000e-01  8.861143102470098200e-01
12 169 2.179400e-01 1.312120e+00  2.794028717502026200e-01  2.794028717502026200e-01  3.333670776029424300e-01  3.958288867930067100e-01
13 183 2.233344e-01 1.335076e+00  2.656094012906774500e-01  2.656094012906774500e-01  3.386010794922936800e-01  3.946061777313562000e-01
14 197 2.294758e-01 1.357531e+00  2.414967230317363300e-01  2.414967230317363300e-01  3.213939651827664200e-01  4.767982444930724000e-01
15 211 2.397015e-01 1.394600e+00  2.131277631242561600e-01  2.131277631242561600e-01  3.053139963207861000e-01  5.112269145081597100e-01
16 225 2.511307e-01 1.423894e+00  2.131277631242561600e-01  2.138601397236913900e-01  2.615049431353672600e-01  5.952063284603175100e-01
17 239 2.563073e-01 1.446988e+00  2.131277631242561600e-01  2.217125443612261700e-01  3.874523638827434000e-01  7.778458783804926800e-01
18 253 2.618961e-01 1.469299e+00  1.994108247818672000e-01  1.994108247818672000e-01  2.402705452411680300e-01  4.379396195371955700e-01
19 267 2.679877e-01 1.490262e+00  1.822950009909737900e-01  1.822950009909737900e-01  2.484691902670675400e-01  6.569986729942035600e-01
20 281 2.697924e-01 1.507169e+00  1.822950009909737900e-01  1.843646953997682400e-01  2.591716248172464300e-01  1.178062918768819400e+00
