%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=208486, 2016/06/18 20:18:6.86)
1 15 1.878329e-01 1.027722e+00 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.969247e-01 9.976274e-01 9.985584e-01 1.001177e+00 1.002982e+00 1.005204e+00 1.010229e+00 1.027722e+00 
2 29 1.808131e-01 1.037277e+00 9.938589e-01 9.938589e-01 9.938589e-01 9.938589e-01 9.938589e-01 9.938589e-01 9.938589e-01 9.938589e-01 9.938589e-01 9.938589e-01 9.938589e-01 9.938589e-01 9.938589e-01 9.938589e-01 9.938589e-01 9.938589e-01 9.938589e-01 9.938589e-01 9.938589e-01 9.941157e-01 9.943860e-01 9.951466e-01 9.956036e-01 9.965486e-01 9.986788e-01 9.991411e-01 9.998994e-01 1.004233e+00 1.004508e+00 1.007211e+00 1.010157e+00 1.016723e+00 1.037277e+00 
3 43 1.761421e-01 1.047884e+00 9.908025e-01 9.908025e-01 9.908025e-01 9.908025e-01 9.908025e-01 9.908025e-01 9.908025e-01 9.908025e-01 9.908025e-01 9.908025e-01 9.908025e-01 9.908025e-01 9.909088e-01 9.910334e-01 9.913905e-01 9.915187e-01 9.918854e-01 9.919774e-01 9.926973e-01 9.934202e-01 9.934649e-01 9.956291e-01 9.962565e-01 9.967875e-01 9.976853e-01 1.000323e+00 1.001479e+00 1.003489e+00 1.008393e+00 1.009729e+00 1.012969e+00 1.027430e+00 1.047884e+00 
4 57 1.802276e-01 1.076721e+00 9.877555e-01 9.877555e-01 9.877555e-01 9.877555e-01 9.877555e-01 9.877891e-01 9.878363e-01 9.878699e-01 9.879955e-01 9.880747e-01 9.881858e-01 9.885171e-01 9.887549e-01 9.889664e-01 9.896639e-01 9.897563e-01 9.906434e-01 9.911457e-01 9.914677e-01 9.921122e-01 9.934072e-01 9.945614e-01 9.963538e-01 9.973873e-01 9.987469e-01 9.996309e-01 1.001916e+00 1.004892e+00 1.008085e+00 1.012057e+00 1.013198e+00 1.045481e+00 1.076721e+00 
5 71 1.869363e-01 1.108855e+00 9.847592e-01 9.847592e-01 9.847910e-01 9.848290e-01 9.849193e-01 9.849819e-01 9.850505e-01 9.853103e-01 9.858151e-01 9.858873e-01 9.861915e-01 9.864826e-01 9.870373e-01 9.874580e-01 9.884121e-01 9.886687e-01 9.889183e-01 9.902095e-01 9.909022e-01 9.918607e-01 9.931898e-01 9.937815e-01 9.955075e-01 9.974802e-01 9.985061e-01 1.001163e+00 1.003593e+00 1.006049e+00 1.007942e+00 1.015219e+00 1.026974e+00 1.047672e+00 1.108855e+00 
6 85 1.891640e-01 1.130429e+00 9.818466e-01 9.818466e-01 9.819637e-01 9.820745e-01 9.822244e-01 9.824337e-01 9.827642e-01 9.830387e-01 9.831648e-01 9.836932e-01 9.845945e-01 9.847828e-01 9.856181e-01 9.859037e-01 9.862952e-01 9.871555e-01 9.878706e-01 9.886838e-01 9.900886e-01 9.902483e-01 9.924095e-01 9.939709e-01 9.949423e-01 9.981841e-01 9.985856e-01 1.002673e+00 1.005688e+00 1.006748e+00 1.015723e+00 1.017061e+00 1.026351e+00 1.046179e+00 1.130429e+00 
7 99 1.903520e-01 1.150465e+00 9.790688e-01 9.790688e-01 9.792009e-01 9.795375e-01 9.798026e-01 9.799826e-01 9.804336e-01 9.808066e-01 9.814598e-01 9.822990e-01 9.825080e-01 9.833691e-01 9.836778e-01 9.844691e-01 9.847997e-01 9.855966e-01 9.865358e-01 9.869812e-01 9.878928e-01 9.889067e-01 9.924484e-01 9.929148e-01 9.944703e-01 9.981369e-01 1.000867e+00 1.002105e+00 1.005285e+00 1.010188e+00 1.015476e+00 1.020265e+00 1.027208e+00 1.044703e+00 1.150465e+00 
8 113 1.956877e-01 1.176434e+00 9.762957e-01 9.762957e-01 9.764656e-01 9.769772e-01 9.772488e-01 9.781395e-01 9.786884e-01 9.791534e-01 9.798053e-01 9.802053e-01 9.806803e-01 9.810061e-01 9.816642e-01 9.824924e-01 9.838492e-01 9.840851e-01 9.846064e-01 9.866017e-01 9.881431e-01 9.910643e-01 9.929136e-01 9.938238e-01 9.974323e-01 9.986692e-01 1.000450e+00 1.002848e+00 1.007735e+00 1.012846e+00 1.021753e+00 1.027100e+00 1.031084e+00 1.046090e+00 1.176434e+00 
9 127 1.983706e-01 1.196391e+00 9.735565e-01 9.735565e-01 9.739766e-01 9.745485e-01 9.749727e-01 9.758655e-01 9.762397e-01 9.770773e-01 9.777944e-01 9.779138e-01 9.787285e-01 9.799255e-01 9.805910e-01 9.812770e-01 9.824679e-01 9.841025e-01 9.849657e-01 9.855150e-01 9.872680e-01 9.893975e-01 9.910147e-01 9.964474e-01 9.968057e-01 9.982922e-01 1.004563e+00 1.006215e+00 1.007344e+00 1.016174e+00 1.021104e+00 1.026159e+00 1.032747e+00 1.049236e+00 1.196391e+00 
10 141 2.027367e-01 1.218691e+00 9.710201e-01 9.710201e-01 9.719626e-01 9.723153e-01 9.730570e-01 9.732149e-01 9.746031e-01 9.748241e-01 9.754080e-01 9.771571e-01 9.779276e-01 9.784162e-01 9.788222e-01 9.807991e-01 9.816593e-01 9.830140e-01 9.835782e-01 9.847829e-01 9.862299e-01 9.890436e-01 9.906670e-01 9.941097e-01 9.953831e-01 9.969023e-01 1.003511e+00 1.006877e+00 1.009617e+00 1.016810e+00 1.019365e+00 1.027901e+00 1.030562e+00 1.054567e+00 1.218691e+00 
