0,0,0,1.5,0
0.1,0.15,200,3.012,1
0.2,0.4512,400,3.7663,1
0.3,0.82783,600,4.3625,1
0.4,1.2641,800,4.8681,1
0.5,1.7509,1000,5.2266,1
0.6,2.2735,1200,5.5464,1
0.7,2.8282,1400,5.8349,1
0.8,3.4117,1600,6.0969,1
0.9,4.0214,1800,6.3376,1
1,4.6551,2000,6.5272,1
1.1,5.3079,2200,6.7017,1
1.2,5.978,2400,6.8773,1
1.3,6.6658,2600,7.0396,1
1.4,7.3697,2800,7.2008,1
1.5,8.0898,3000,7.3779,1
1.6,8.8276,3200,7.5275,1
1.7,9.5803,3400,7.6667,1
1.8,10.347,3600,7.7462,1
1.9,11.122,3800,7.8299,1
2,11.905,4000,7.976,1
2.1,12.702,4200,8.1121,1
2.2,13.513,4400,8.1649,1
2.3,14.33,4600,8.2601,1
2.4,15.156,4800,8.3525,1
2.5,15.991,5000,8.4952,1
2.6,16.841,5200,8.6285,1
2.7,17.704,5400,8.6675,1
2.8,18.57,5600,8.6911,1
2.9,19.439,5800,8.7786,1
3,20.317,6000,8.7913,1
3.1,21.196,6200,8.8076,1
3.2,22.077,6400,8.8458,1
3.3,22.962,6600,8.8882,1
3.4,23.851,6800,8.9279,1
3.5,24.743,7000,9.0177,1
3.6,25.645,7200,9.0023,1
3.7,26.545,7400,9.0309,1
3.8,27.448,7600,9.0607,1
3.9,28.354,7800,9.1418,1
4,29.269,8000,9.1306,1
4.1,30.182,8200,9.22,1
4.2,31.104,8400,9.1805,1
4.3,32.022,8600,9.2345,1
4.4,32.945,8800,9.1925,1
4.5,33.864,9000,9.1532,1
4.6,34.78,9200,9.1924,1
4.7,35.699,9400,9.202,1
4.8,36.619,9600,9.27,1
4.9,37.546,9800,9.2698,1
5,38.473,10000,9.2504,1
5.1,39.398,10200,9.3128,1
5.2,40.33,10400,9.3304,1
5.3,41.263,10600,9.2923,1
5.4,42.192,10800,9.3593,1
5.5,43.128,11000,9.3971,1
5.6,44.067,11200,9.3456,1
5.7,45.002,11400,9.3943,1
5.8,45.941,11600,9.3885,1
5.9,46.88,11800,9.3831,1
6,47.819,12000,9.3978,1
6.1,48.758,12200,9.3399,1
6.2,49.692,12400,9.348,1
6.3,50.627,12600,9.3859,1
6.4,51.566,12800,9.4253,1
6.5,52.508,13000,9.4345,1
6.6,53.452,13200,9.4606,1
6.7,54.398,13400,9.4005,1
6.8,55.338,13600,9.4086,1
6.9,56.279,13800,9.4369,1
7,57.222,14000,9.4155,1
7.1,58.164,14200,9.4298,1
7.2,59.107,14400,9.4638,1
7.3,60.053,14600,9.4985,1
7.4,61.003,14800,9.4658,1
7.5,61.95,15000,9.4749,1
7.6,62.897,15200,9.4834,1
7.7,63.846,15400,9.4771,1
7.8,64.793,15600,9.4639,1
7.9,65.74,15800,9.4498,1
8,66.685,16000,9.5154,1
8.1,67.636,16200,9.4784,1
