%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=210803, 2016/06/19 16:44:7.04)
1 14 1.885144e-01 0 0 1.880330e-01 1.890387e-01 1.887344e-01 1.880743e-01 1.886510e-01 1.889050e-01 1.879616e-01 1.896497e-01 1.882442e-01 1.882412e-01 1.882137e-01 1.880003e-01 1.879223e-01 1.897653e-01 1.882019e-01 1.880168e-01 1.879428e-01 1.879658e-01 1.880807e-01 1.884667e-01 1.881778e-01 1.880780e-01 1.882487e-01 1.885576e-01 1.882894e-01 1.880792e-01 1.880619e-01 1.880699e-01 
2 27 1.820385e-01 0 0 1.811933e-01 1.825197e-01 1.828732e-01 1.812295e-01 1.816535e-01 1.824716e-01 1.815029e-01 1.830127e-01 1.822512e-01 1.812712e-01 1.814914e-01 1.822682e-01 1.808943e-01 1.830929e-01 1.811953e-01 1.814862e-01 1.812603e-01 1.814184e-01 1.811785e-01 1.816756e-01 1.811206e-01 1.813597e-01 1.818513e-01 1.817104e-01 1.816612e-01 1.811848e-01 1.816687e-01 1.814792e-01 
3 40 1.814416e-01 0 0 1.801588e-01 1.815232e-01 1.827102e-01 1.809301e-01 1.810240e-01 1.820769e-01 1.804118e-01 1.828852e-01 1.813932e-01 1.802263e-01 1.803525e-01 1.817537e-01 1.798007e-01 1.840407e-01 1.801918e-01 1.810430e-01 1.802614e-01 1.804757e-01 1.801602e-01 1.813065e-01 1.802848e-01 1.810880e-01 1.816056e-01 1.809395e-01 1.808656e-01 1.800593e-01 1.822829e-01 1.807194e-01 
4 53 1.879106e-01 0 0 1.861228e-01 1.877809e-01 1.894826e-01 1.891839e-01 1.869148e-01 1.884922e-01 1.870230e-01 1.890633e-01 1.874864e-01 1.862292e-01 1.863259e-01 1.881936e-01 1.857075e-01 1.911714e-01 1.868811e-01 1.884159e-01 1.862759e-01 1.866795e-01 1.861084e-01 1.876566e-01 1.879486e-01 1.873343e-01 1.879326e-01 1.870166e-01 1.871562e-01 1.860937e-01 1.902956e-01 1.871190e-01 
5 66 1.989472e-01 0 0 1.969251e-01 1.986988e-01 2.008207e-01 2.006750e-01 1.978275e-01 1.993918e-01 1.974967e-01 2.003266e-01 1.984072e-01 1.969243e-01 1.975217e-01 1.993536e-01 1.961156e-01 2.027889e-01 1.980561e-01 1.999208e-01 1.976549e-01 1.976091e-01 1.966518e-01 1.995850e-01 1.991036e-01 1.984677e-01 1.984031e-01 1.980066e-01 1.985248e-01 1.965966e-01 2.043759e-01 1.980381e-01 
6 79 2.141049e-01 0 0 2.128685e-01 2.146198e-01 2.166409e-01 2.167071e-01 2.124959e-01 2.146237e-01 2.120858e-01 2.155453e-01 2.130504e-01 2.123089e-01 2.121028e-01 2.145080e-01 2.114912e-01 2.181059e-01 2.132010e-01 2.155814e-01 2.125891e-01 2.124511e-01 2.112453e-01 2.164936e-01 2.153103e-01 2.134399e-01 2.134143e-01 2.125326e-01 2.142775e-01 2.116852e-01 2.218109e-01 2.132324e-01 
7 92 2.277236e-01 0 0 2.263442e-01 2.285013e-01 2.308517e-01 2.309701e-01 2.257772e-01 2.280037e-01 2.256966e-01 2.287701e-01 2.263104e-01 2.252102e-01 2.255616e-01 2.279510e-01 2.247174e-01 2.320400e-01 2.266498e-01 2.292052e-01 2.260740e-01 2.265092e-01 2.243359e-01 2.298620e-01 2.291698e-01 2.264905e-01 2.269004e-01 2.255220e-01 2.277762e-01 2.249129e-01 2.376700e-01 2.263580e-01 
8 105 2.435393e-01 0 0 2.420862e-01 2.444634e-01 2.466456e-01 2.474125e-01 2.417148e-01 2.434077e-01 2.412014e-01 2.441105e-01 2.417294e-01 2.406547e-01 2.408463e-01 2.437945e-01 2.396472e-01 2.478329e-01 2.424048e-01 2.448843e-01 2.414892e-01 2.426622e-01 2.395832e-01 2.455376e-01 2.447112e-01 2.423419e-01 2.425285e-01 2.407474e-01 2.437831e-01 2.402012e-01 2.542440e-01 2.416414e-01 
9 118 2.546614e-01 0 0 2.525910e-01 2.548625e-01 2.571854e-01 2.583461e-01 2.530163e-01 2.539711e-01 2.518277e-01 2.554395e-01 2.522174e-01 2.520153e-01 2.519962e-01 2.549738e-01 2.500214e-01 2.600255e-01 2.528435e-01 2.560888e-01 2.525372e-01 2.541066e-01 2.499753e-01 2.565774e-01 2.553938e-01 2.539232e-01 2.535865e-01 2.527423e-01 2.550506e-01 2.509628e-01 2.657073e-01 2.525194e-01 
10 131 2.642516e-01 0 0 2.647016e-01 2.645486e-01 2.663043e-01 2.677564e-01 2.621185e-01 2.629580e-01 2.613089e-01 2.643515e-01 2.619672e-01 2.609105e-01 2.615162e-01 2.644646e-01 2.586920e-01 2.692353e-01 2.619700e-01 2.652660e-01 2.617760e-01 2.630098e-01 2.592162e-01 2.666186e-01 2.646455e-01 2.630506e-01 2.627194e-01 2.623034e-01 2.642241e-01 2.598376e-01 2.753880e-01 2.611797e-01 
11 144 2.782986e-01 0 0 2.788443e-01 2.794805e-01 2.801008e-01 2.823215e-01 2.754016e-01 2.764821e-01 2.747580e-01 2.780048e-01 2.752702e-01 2.752833e-01 2.752500e-01 2.779326e-01 2.717757e-01 2.838229e-01 2.774610e-01 2.793979e-01 2.759837e-01 2.770896e-01 2.735610e-01 2.807608e-01 2.789442e-01 2.768507e-01 2.789572e-01 2.763481e-01 2.789064e-01 2.735845e-01 2.905747e-01 2.755280e-01 
12 157 2.868304e-01 0 0 2.868307e-01 2.875297e-01 2.879307e-01 2.908189e-01 2.856160e-01 2.841528e-01 2.825646e-01 2.878505e-01 2.827669e-01 2.839385e-01 2.832883e-01 2.860360e-01 2.798604e-01 2.924057e-01 2.855324e-01 2.893650e-01 2.840992e-01 2.853921e-01 2.815453e-01 2.899750e-01 2.870362e-01 2.848074e-01 2.879993e-01 2.853085e-01 2.869656e-01 2.823472e-01 2.994258e-01 2.836425e-01 
13 170 2.995080e-01 0 0 2.989434e-01 3.001507e-01 3.000919e-01 3.036614e-01 2.975764e-01 2.958413e-01 2.959868e-01 3.005997e-01 2.950608e-01 2.962871e-01 2.971189e-01 2.985465e-01 2.917232e-01 3.045596e-01 2.997931e-01 3.040540e-01 2.959993e-01 2.978209e-01 2.931855e-01 3.024267e-01 3.016115e-01 2.969367e-01 3.013986e-01 2.980951e-01 2.991098e-01 2.941997e-01 3.130073e-01 2.965772e-01 
14 183 3.092685e-01 0 0 3.081978e-01 3.096160e-01 3.093179e-01 3.131488e-01 3.064938e-01 3.057827e-01 3.056008e-01 3.124636e-01 3.042180e-01 3.056145e-01 3.069218e-01 3.079254e-01 3.003708e-01 3.178485e-01 3.101676e-01 3.138467e-01 3.049615e-01 3.071312e-01 3.026445e-01 3.119719e-01 3.117781e-01 3.071770e-01 3.132134e-01 3.075202e-01 3.080568e-01 3.027964e-01 3.226865e-01 3.063206e-01 
