-1410205020, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1410184327, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1410163943, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1410143621, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1410123340, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1410103043, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1410082755, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1410062484, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1410042171, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1410021910, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1410001655, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409981355, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409961064, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409940811, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409920536, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409900278, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409880009, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409859744, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409839484, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409289947, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409269470, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409249054, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409228680, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409208309, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409188012, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409167726, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409147440, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409127170, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409106903, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409086631, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409066364, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409046105, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409025846, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1409005590, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1408985339, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1408965080, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1408944716, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1408924418, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1408904139, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1408883858, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1408863516, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
-1408843213, 1, 7, 0.000000, 0.00, 0.00, 0.00, 0.00, 0.00
